Declarative benchmark summary
Run: 30192011178  Commit: 54cea7a
Base URL: https://us.api.konghq.com
Suite: 4m41.117s  Cases: 12  Phases: 24  Requests: 492  Responses: 492  Errors: 0
Note: suite duration includes fixture generation and destructive org reset.
      phase duration measures only the kongctl apply command.

CASE                     PHASE          REP  APIS  DOCS   DURATION    REQ   RESP    ERR
------------------------ ------------- ---- ----- ----- ---------- ------ ------ ------
small-single-file        apply_create     1     1     2      686ms      6      6      0
small-single-file        apply_noop       1     1     2      362ms      4      4      0
small-single-file        apply_create     2     1     2      600ms      6      6      0
small-single-file        apply_noop       2     1     2      319ms      4      4      0
small-single-file        apply_create     3     1     2      580ms      6      6      0
small-single-file        apply_noop       3     1     2      400ms      4      4      0
small-multi-file         apply_create     1     1     2      569ms      6      6      0
small-multi-file         apply_noop       1     1     2      325ms      4      4      0
small-multi-file         apply_create     2     1     2      517ms      6      6      0
small-multi-file         apply_noop       2     1     2      339ms      4      4      0
small-multi-file         apply_create     3     1     2      524ms      6      6      0
small-multi-file         apply_noop       3     1     2      345ms      4      4      0
medium-single-file       apply_create     1     5    25     1.528s     41     41      0
medium-single-file       apply_noop       1     5    25     1.779s     31     31      0
medium-single-file       apply_create     2     5    25     1.589s     41     41      0
medium-single-file       apply_noop       2     5    25      1.76s     31     31      0
medium-single-file       apply_create     3     5    25     1.497s     41     41      0
medium-single-file       apply_noop       3     5    25     1.713s     31     31      0
medium-multi-file        apply_create     1     5    25     1.499s     41     41      0
medium-multi-file        apply_noop       1     5    25     1.795s     31     31      0
medium-multi-file        apply_create     2     5    25     1.452s     41     41      0
medium-multi-file        apply_noop       2     5    25     1.744s     31     31      0
medium-multi-file        apply_create     3     5    25      1.53s     41     41      0
medium-multi-file        apply_noop       3     5    25     1.713s     31     31      0
